workers,time
1,41.939
2,23.509
3,18.161
4,13.734
5,12.524
6,11.870
7,11.037
8,10.246
9,10.405
10,9.944
11,9.808
12,9.832
13,9.423
14,9.302
15,9.106
16,8.964
17,9.267
18,9.151
19,9.266
20,9.309
21,9.341
22,9.450
23,9.492
24,9.760
