workers,time
1,25.851
2,13.804
3,10.650
4,7.975
5,7.104
6,6.541
7,6.411
8,6.064
9,5.856
10,5.806
11,5.742
12,5.622
13,5.506
14,5.368
15,5.366
16,5.409
17,5.378
18,5.466
19,5.557
20,5.837
21,5.645
22,5.802
23,5.706
24,6.066
