workers,time
1,179.551
2,18.974
3,15.409
4,12.126
5,10.813
6,9.956
7,9.580
8,9.071
9,8.953
10,8.803
11,8.498
12,8.751
13,8.330
14,8.084
15,8.259
16,7.857
17,7.899
18,8.044
19,8.024
20,8.186
21,8.121
22,8.021
23,8.636
24,8.108
