workers,time
1,2.180
2,1.210
3,0.897
4,0.702
5,0.702
6,0.677
7,0.579
8,0.539
9,0.612
10,0.601
11,0.601
12,0.559
13,0.609
14,0.576
15,0.574
16,0.586
17,0.592
18,0.614
19,0.622
20,0.642
21,0.647
22,0.694
23,0.640
24,0.686
