workers,time
1,50.583
2,28.476
3,22.805
4,16.958
5,15.546
6,14.520
7,13.746
8,12.580
9,12.726
10,12.175
11,12.151
12,11.557
13,11.544
14,11.127
15,11.129
16,10.965
17,11.104
18,11.338
19,11.406
20,11.207
21,11.872
22,11.357
23,11.644
24,11.555
