npm run 'dag2:performance-worker' [iterations] [action]
Values: iterations=100 action=step2
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}starting...
0
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}1
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}2
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}3
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}4
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}5
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}6
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}7
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}8
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}9
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}10
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}11
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}12
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}13
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}14
 Update {room_id=a4ce3ced23 text='Hello World!', depth=1, predecessors=[3b9e9e4680,3b9e9e4680], id=668e4d7d26}15
